ID,State,Name,Category,Income,Qualification,Description,LINKS,Type
21,Maharashtra,Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scheme,EBC,800000,Medical,"Rajarshri Chhatrapati Shahu Maharaj Fee Reimbursement Scholarship Scheme 2022-23 is an initiative of the Directorate of Medical Education Research, Government of Maharashtra to financial aid to undergraduate medical degree applicants. The selected students will receive a 50% fee reimbursement (tuition fee plus development fee).",https://mahadbt.maharashtra.gov.in/login/login,Government
22,Maharashtra,Rajarshri Chhatrapati Shahu Maharaj Merit Scholarship,SC,0,FYJC or HSC,"Rajarshri Chhatrapati Shahu Maharaj Merit Scholarship, Maharashtra 2022-23 is an initiative of the Department of Social Justice and Special Assistance, Government of Maharashtra to provide financial assistance to SC students of Class 11 and 12. The selected students will receive INR 300 per month for 10 months",https://mahadbt.maharashtra.gov.in/login/login,Government
23,Maharashtra,Scholarship for students of minority communities pursuing, Buddha or Christian or Jain or Sikh or Parsi or Jews ,800000,Medical,"Minority Scholarship, Maharashtra 2022-23 is an initiative of the Minority Development Department, Government of Maharashtra to financially help minority students pursuing MBBS, BDS, BAMS, BHMS, BUMS, BPTH, BOTH, BASLP, BP&O, BSc Nursing, MSc Nursing, BPMT, Ophthalmic Assistant, Optometry, PB BSc Nursing and courses affiliated to Maharashtra University of Health Science, Nashik. The selected students will receive a total annual course fee or INR 25,000 (whichever is less).",https://mahadbt.maharashtra.gov.in/login/login,Government
24,Maharashtra,Scholarship to Meritorious students possessing Mathematics /Physics,all,0,graduation-Science,"Scholarship to Meritorious Students Possessing Mathematics/Physics, Maharashtra 2022-23 is an initiative of the Directorate of Higher Education (DHE), Government of Maharashtra to financial aid to students pursuing graduation in Science. The selected students will receive INR 100 per month.",https://mahadbt.maharashtra.gov.in/login/login,Government
25,Maharashtra,State Government Daxshina Adhichatra Scholarship,all,0,,"State Government Daxshina Adhichatra Scholarship 2022-23, Maharashtra is an initiative of the Directorate of Higher Education (DHE), Government of Maharashtra to provide financial assistance to students pursuing postgraduation from Government institutes and colleges and non-agricultural universities. A total of 76 selected students will receive INR 250 per month under this scholarship scheme. ",https://mahadbt.maharashtra.gov.in/login/login,Government
26,Maharashtra,State Government Open Merit Scholarship,all,0,graduation,"State Government Open Merit Scholarship, Maharashtra 2021-22 is an initiative by the Directorate of Higher Education (DHE), the Government of Maharashtra for Class 12th passed students of Maharashtra. A total of 1208 students admitted to the Commerce, Arts, Law or Science graduate program will be benefitted under this scheme. The selected students will receive INR 100 per month.",https://mahadbt.maharashtra.gov.in/login/login,Government
27,Maharashtra,Tuition Fees and Examination Fees to OBC Students,OBC,800000,FYJC,"Tuition Fees and Examination Fees to OBC Students, Maharashtra 2022-23 is an initiative of the VJNT, OBC and SBC Welfare Department, Government to Maharashtra provide financial assistance to OBC students studying from Class 11 to Ph.D. level. The selected students will receive tuition fees and exam fees reimbursement under this scheme. ",https://mahadbt.maharashtra.gov.in/login/login,Government
28,Maharashtra,Tuition Fees and Examination Fees to SBC Students,SBC,800000,Professional or non-professional,"Tuition Fees and Examination Fees to SBC Students, Maharashtra 2022-23 is an initiative of the VJNT, OBC and SBC Welfare Department, Government of Maharashtra to financially help SBC category students studying from Class 11 to PhD level. The scholarship aims to create opportunities for SBC students by providing them with financial aid to pursue higher education. The selected students will receive tuition fees and exam fees reimbursement under this scheme. ",https://mahadbt.maharashtra.gov.in/login/login,Government
29,Maharashtra,"Rajarshi Chhatrapati Shahu Maharaj  Merit Scholarship for students
studying in 11th & 12thstandard of VJNT & SBCcategory",VJNT or SBC,0,post-matric,"Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulk Shishyavrutti Yojna 2022-23, Maharashtra is an initiative of the Directorate of Higher Education, the Government of Maharashtra to provide financial aid to graduate and postgraduate students. The scholarship is applicable to students coming from economically weaker sections of society. The selected students will receive course fees and examination fees.",https://mahadbt.maharashtra.gov.in/login/login,Government
30,Maharashtra,Jawaharlal Nehru University Scholarship,all,0,post-matric,"Jawaharlal SchemeNehru University  2022-23, Maharashtra is an initiative of the Directorate of Higher Education, Government of Maharashtra to provide financial assistance to students who are enrolled in UG and PG courses at Jawaharlal Nehru University. The selected students will receive INR 8,000 per month as a scholarship and an additional allowance of INR 10,000 per annum.",https://www.jnu.ac.in/main/,Government
31,Maharashtra,Government Vidyaniketan Scholars,all,0,post-matric,"Government Vidyaniketan Scholarship 2022-23, Maharashtra is an initiative of the Directorate of Higher Education, Government of Maharashtra to financially help Class 10 passed students. The selected students will receive INR 100 per month for their higher education.",https://dhepune.gov.in/vidya-niketan-scholarship,Government
32,Maharashtra,IDFC FIRST Bank Education Loans,all,0,post gradutation,"Under this programme, the students will be offered collateral-free education loans up to INR 40 Lakh to pursue their higher studies at an institution of their choice. Further, no financial documents* (ITR/salary slip, etc.) are required to avail this education loan. The rate of interest applicable under this education loan ranges from 9% to 12%, depending on the institute category and courses.",https://www.idfcfirstbank.com/edu-lead-creation-new-page?utm_source=google&utm_medium=cpc&utm_campaign=EL_Perf_Brand&adgroup=128735370610&utm_term=idfc%20first%20bank%20education%20loan&utm_content=627449847322&network=g&gad=1&gclid=Cj0KCQjwjryjBhD0ARIsAMLvnF-2zbNwsTBUVnSNu8vs7ieYDoE_TroO62c8urnK74Ao5ZPiExiqemQaAk_YEALw_wcB,Private
33,Maharashtra,IET India Scholarship Award,all,0,post gradutation,"IET India Scholarship Award is India’s largest scholarship programme for undergraduate engineering students. Designed by the Institute of Engineering and Technology (IET) to recognize and nurture future engineering leaders of India, the 7th edition of the award programme will inspire undergraduate engineering students by rewarding their creativity, innovation, leadership and excellence. Engineering students across years (1st, 2nd, 3rd or 4th year) and engineering specialisations will compete for a combined scholarship prize worth INR 10,00,000.",https://scholarships.theietevents.com/?gclid=Cj0KCQjwjryjBhD0ARIsAMLvnF900kM2njlZ644kUrCK5ureXgbRuM7dJ2jzCLS2BVGZLDwcP7CLTzAaAmvyEALw_wcB#!,Private
34,Maharashtra,Medhaavi Engineering Scholarship Program,all,0,engineering,"The Medhaavi Engineering Scholarship Program 2023-24 is a CSR initiative of Bharat Petroleum Corporation Limited (BPCL) that aims to provide financial assistance to underprivileged students pursuing undergraduate engineering courses at specified 20 NITs across India and encourage them to pursue their higher studies, gain self-confidence, achieve independence and become employable. Under this scholarship, students enrolled in engineering courses (any year) at specified institutions will be provided with a one-time fixed scholarship of INR 50,000 to continue their higher education.","https://www.albany.edu/undergraduate-awareness?utm_medium=Search&utm_source=Google&utm_campaign=UAlbany,UGAwareness23&gclid=Cj0KCQjwjryjBhD0ARIsAMLvnF8T96YLKtJ8krCXfL6lIs9lqzUyJT55scp6C3VaLohAXUSJNmrVAQMaAoATEALw_wcB",Private
35,Maharashtra,CNH-ITC Mentorship Program,all ,0,engineering,"CNH-ITC Mentorship Program 2023 is an initiative of India Technology Centre (ITC), an entity of CNH Industrial that aims to enhance the professional skills, overall development and employability of underprivileged students by imparting mentorship support to them. Aligned with CNH Industrial’s vision of building a better world, this mentorship program is meant for students studying in the 1st and 2nd year of undergraduate engineering degree at government institutions located in Noida, Gurgaon, Greater Noida, Ghaziabad, Delhi and Faridabad.",https://kalingatv.com/miscellany/cnh-itc-mentorship-program-2023-selected-candidates-will-attend-elaborate-online-upskilling-webinar/,Private
